team_name,player_name,player_batLR,opponents,pitcherLR,pitchername,runners,strikes,pitch_course,pitch_type,pitch_height,hit_type,x_coord,y_coord
立命館大学.csv,坂下晴翔,左,京大以外,左,なし,なし,2,内,ストレート,高め,フライ,133,726
立命館大学.csv,坂下晴翔,左,京大以外,左,なし,なし,2,外,スライダー,低め,ゴロ,438,357
立命館大学.csv,角井翔一郎,左,京大以外,左,なし,1塁,0,外,ストレート,低め,ゴロ,362,210
立命館大学.csv,角井翔一郎,左,京大以外,右,なし,なし,2,真中,ストレート,低め,ゴロ,468,335
立命館大学.csv,坂下晴翔,左,京大以外,右,なし,なし,0,内,ストレート,低め,フライ,518,115
近畿大学.csv,谷本颯太,左,京大,右,玉越,なし,0,内,ストレート,高め,ゴロ,380,630
近畿大学.csv,谷本颯太,左,京大,右,玉越,なし,1,内,ストレート,低め,ライナー,124,426
近畿大学.csv,谷本颯太,左,京大,右,玉越,なし,2,外,ストレート,真中,フライ,141,298
近畿大学.csv,三木太介,右,京大,右,玉越,得点圏,1,外,ストレート,真中,フライ,653,323
京都大学.csv,田澤叶羽,左,京大以外,右,なし,なし,0,内,ストレート,低め,ライナー,250,454
京都大学.csv,松本径一郎,右,京大以外,右,なし,1塁,0,真中,ストレート,低め,フライ,371,208
近畿大学.csv,八幡大介,左,京大,右,玉越,なし,0,外,ストレート,真中,フライ,300,738
近畿大学.csv,八幡大介,左,京大,右,玉越,なし,1,内,ストレート,真中,ゴロ,443,337
近畿大学.csv,岸本紘一,右,京大,右,玉越,なし,1,外,ストレート,高め,フライ,621,448
近畿大学.csv,谷本颯太,左,京大,右,玉越,なし,1,真中,ストレート,低め,ゴロ,534,433
京都大学.csv,渡辺祥大,右,京大以外,右,なし,なし,2,外,ストレート,高め,ライナー,408,746
京都大学.csv,渡辺祥大,右,京大以外,右,なし,なし,2,真中,ストレート,真中,ゴロ,341,318
京都大学.csv,田澤叶羽,左,京大以外,右,なし,なし,1,真中,ストレート,高め,ライナー,122,373
近畿大学.csv,三木太介,右,京大,右,玉越,なし,1,内,ストレート,真中,フライ,451,314
近畿大学.csv,八幡大介,左,京大,右,玉越,なし,1,外,ストレート,真中,フライ,124,746
近畿大学.csv,岸本紘一,右,京大,右,玉越,1塁,0,真中,ストレート,真中,ゴロ,247,446
京都大学.csv,松本径一郎,右,京大以外,右,なし,なし,0,内,ストレート,高め,フライ,257,285
近畿大学.csv,谷本颯太,左,京大,右,玉越,なし,0,内,ストレート,真中,ライナー,41,688
近畿大学.csv,三木太介,右,京大,右,玉越,得点圏,0,内,ストレート,高め,フライ,371,750
近畿大学.csv,三木太介,右,京大,右,玉越,得点圏,2,外,ストレート,真中,フライ,607,264
京都大学.csv,渡辺祥大,右,京大以外,右,なし,なし,1,内,スライダー,真中,フライ,143,550
京都大学.csv,田澤叶羽,左,京大以外,右,なし,なし,0,内,スライダー,真中,ゴロ,498,478
関西大学.csv,宮本青空,左,京大,右,なし,なし,0,真中,ストレート,高め,ライナー,336,239
京都大学.csv,田澤叶羽,左,京大以外,左,なし,なし,2,外,ストレート,高め,ライナー,145,359
京都大学.csv,渡辺祥大,右,京大以外,左,なし,なし,0,真中,ストレート,真中,フライ,483,725
京都大学.csv,渡辺祥大,右,京大以外,左,なし,なし,2,外,ストレート,高め,フライ,618,617
関西大学.csv,山本峻輔,左,京大,右,なし,なし,1,内,ストレート,低め,ゴロ,539,451
京都大学.csv,加藤温輝,左,京大以外,左,なし,なし,1,外,スライダー,真中,フライ,77,566
京都大学.csv,田澤叶羽,左,京大以外,左,なし,なし,0,真中,フォーク,真中,ゴロ,420,330
関西大学.csv,中村莞爾,左,京大,右,なし,なし,0,外,ストレート,低め,ライナー,339,263
関西大学.csv,山本峻輔,左,京大,右,なし,得点圏,0,真中,ストレート,高め,フライ,135,623
関西大学.csv,山本峻輔,左,京大,右,なし,得点圏,1,真中,チェンジアップ,高め,フライ,342,248
関西大学.csv,宮本青空,左,京大,右,なし,なし,1,外,チェンジアップ,低め,ライナー,172,250
