NAME,SAO.L,RBB.L,SAO/RBB,m+.L,SAO.R,RBB.R,SAO/RBB,m+.R,center_x,center_y,major-axis,minor-axis
éRçË,0.15476,32.10769,0.004820029,0.098328594,0.02667,11,0.002424545,0.049460727,0,0,55,71
ç‚à‰,1.2619,19.04615,0.06625486,1.351599142,0,1,0,0,-9,9,62,71
